i_dblp,j_sch,dblp_id,sch_id
220,48918,conf/vldb/LitwinNS94,Ass0qgT-aa4J
13,51069,conf/vldb/LuTD95,R51Yi7sWJ6EJ
206,53184,conf/sigmod/BenediktCFFR03,AYLM_Ah5Z0kJ
1683,26657,conf/vldb/ZouS98,5dnYlEMQTb0J
1821,11315,journals/sigmod/HellersteinHM03,6ussAgzdL6oJ
2380,61294,journals/vldb/AgrawalHK03,nQvBo5KHITYJ
2066,33777,conf/vldb/ZellerK02,UIWreKZndVQJ
396,8204,conf/sigmod/ChoALS03,hbshvAkMyfMJ
1256,50941,conf/vldb/PereiraFLS00,KAW0nLm2wVAJ
702,43185,conf/sigmod/WuAA01,wivJNEQEWzMJ
1182,38160,conf/sigmod/AcharyaFZ97,oH_xfQI8wIgJ
442,35906,conf/sigmod/AltinelLKMPLWB02,FRh7wTjbGAcJ
344,32365,conf/sigmod/MinPC03,NQX3dE0STGAJ
838,29490,conf/sigmod/ChangBCLLS00,aFsgZWSkfOcJ
1285,17347,conf/sigmod/AgrawalASY97,nqOZsUydoQkJ
77,25605,conf/vldb/FrohnLU94,xpreqF8k7N4J
2475,39839,journals/vldb/LinJF94,lJvmD13lHJIJ
965,11515,conf/sigmod/JagadishLS99,dRemTC899xcJ
2310,62403,journals/vldb/GarofalakisOS98,JrgorBsFBrwJ
1390,4339,conf/sigmod/HanFWCZK96,XFCkL9QhTjIJ
1069,13558,conf/vldb/OzsuLON01,nOUmvN1TzdMJ
1938,9806,conf/vldb/AltinelBKMPR03,wIlHF5DfRbMJ
1937,61074,conf/vldb/KoudasGGSV03,jqWSQmw8ScEJ
1414,12280,conf/vldb/JagadishMN99,9rDll5YAQnoJ
1337,30719,conf/vldb/LakshmananJN00,0McW0Z3yCW8J
1944,2646,conf/vldb/AnciauxBP03,H2qCU9-_uykJ
1367,45645,conf/vldb/JagadishLS99,p5n3KKoHgMgJ
2309,59899,journals/vldb/KrivokapicKG99,Z0oCigN4pVMJ
2523,13842,conf/vldb/ShaferAM96,WTuHfc-D3TwJ
812,26175,journals/sigmod/Ulusoy95,uMYecZGSCv4J
1047,39813,conf/vldb/UrhanF01,luw5euo-eqsJ
1969,3642,conf/vldb/MengLLA03,_EDhM4bq8b0J
2314,51383,journals/vldb/KabraD99,MbQoYPHe0V0J
1342,39172,conf/sigmod/ShivakumarG97,DNmlZjsXOGcJ
632,59950,conf/sigmod/ClaypoolRZSK01,uuvhH2asKmEJ
977,62614,conf/sigmod/DoRD99,V1DwPxXlTD4J
986,51588,conf/vldb/DongHLPW01,ue3gCyIirokJ
1965,54612,conf/vldb/HardingLM03,_ojAgiG_YREJ
989,18116,conf/vldb/LiM01,rlfxeE4k2p4J
2195,48658,journals/tods/BellNNS96,UByN6paxEXwJ
1986,19622,conf/vldb/WangZL03,brHr940q4pAJ
319,2456,conf/sigmod/ChaudhuriKN03,tnJWmxOtOrEJ
1654,30934,conf/vldb/SeidlK97,TodiMgxv4vMJ
1116,59366,conf/sigmod/MatiasVW98,chcojj8yN1sJ
1359,14801,conf/vldb/LeeL99,CvuDiQujuXkJ
2033,50178,conf/vldb/HuebschHLLSS03,7y9SomIIAG0J
372,13579,conf/sigmod/MaddenSHR02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D945725%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
442,52255,conf/sigmod/AltinelLKMPLWB02,7lPu8hBgKksJ
2002,62384,conf/vldb/Amer-YahiaFSX03,b2r9OZJJ4sgJ
193,58344,journals/sigmod/LeeF01,CYMEZBP9hBsJ
741,35518,conf/sigmod/RoySSB00,B855ccGhBu4J
332,46610,conf/sigmod/ChaudhuriGGM03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1016031%26type%3Dpdf
2439,24451,journals/vldb/AlbanoGO95,vrD2aAK6G-wJ
1040,56496,conf/vldb/ChungCLL01,c-MP8R47zVIJ
112,31560,journals/sigmod/HuangKL02,xcRKDHBIUb8J
148,35189,journals/sigmod/EisenbergM01,Ciq01lHglkAJ
2021,46569,conf/vldb/LimWV03,YHUN_yiwIOUJ
505,8631,journals/sigmod/GuptaHR97,JqLpS6Kq6CIJ
1864,53001,journals/sigmod/MalaikaEM03,P4GlaTbxOpEJ
1197,32536,conf/sigmod/ReinwaldP98,y_H9p9Lqj3IJ
906,27634,journals/tods/BeneventanoBS03,AgqQVeQ7A0AJ
220,40892,conf/vldb/LitwinNS94,FhyWT1pyLnUJ
439,57969,conf/sigmod/HanWDPW02,OtWd0BN7XWoJ
2048,58945,conf/vldb/IwerksSS03,-DvIEFe1vQ0J
2237,10357,journals/tods/WinslettSQ94,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D187462%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
2277,30135,journals/tods/WangBBJ97,I-yhgAxp9OQJ
939,53596,conf/sigmod/FlorescuLMS99,UkIG8p5eCSsJ
1242,25489,conf/sigmod/ONeilQ97,6twtfqrudGcJ
858,30976,conf/sigmod/LiBCS00,H19xw76hkEYJ
467,35292,conf/sigmod/ThaperGIK02,855tuDOhjl4J
209,26366,journals/sigmod/TianDCZ02,KIPb9Dqda-AJ
1368,47293,conf/vldb/ShanmugasundaramGTZDN99,dycZ24ft99wJ
2427,47048,journals/vldb/KellerB96,Gbeuku4fC18J
2163,14730,conf/vldb/YuSLJ02,f6JFkfhawW8J
2232,52242,journals/tods/RosenthalR94,fW9j2V5gnUMJ
2139,7920,conf/vldb/AgrawalKSX02,HAaZcc7-vqAJ
1392,13355,conf/sigmod/HullZ96,pO6SFdVGt5QJ
405,31381,conf/sigmod/ArasuBBDIRW03,kpLW9e4Cr94J
330,50455,conf/sigmod/GangulyGR03,Sd2EpYgsgYEJ
1115,39650,conf/sigmod/ChaudhuriMN98,niAPzsMp2igJ
1431,47992,conf/vldb/ChanI99,rIn20xqxpkUJ
1793,36330,conf/sigmod/AgrawalCFGHIIMMSS94,1HAB-tuw7N4J
807,37053,conf/sigmod/ChoG00,iyliEUBEyhwJ
220,33321,conf/vldb/LitwinNS94,QzFRa87b4HEJ
1280,13299,conf/sigmod/GebhardtJJ97,url:http://www.springerlink.com/index/CBHRGBHFTW90N54X.pdf
2021,61040,conf/vldb/LimWV03,tbuNzuDUSFYJ
1480,41468,conf/vldb/BaulierBGJGKKMMNNRSS98,VQ41LtuXMrUJ
1849,20397,conf/vldb/HaasKWY97,6TrmUUoylzIJ
343,25026,conf/sigmod/MaddenFHH03,VKL01W7jM14J
1465,60593,conf/vldb/RaoR99,ESJ_s7VCnosJ
2510,38573,conf/vldb/BertinoBFS96,NYQMkdaH2egJ
1306,24319,conf/vldb/DiaoLCT00,W0ziAVcSPRYJ
575,42530,conf/sigmod/FernandezMS01,8hDo6qczOzMJ
1189,2042,conf/sigmod/CeriFP98,b6-zHfA02TgJ
1231,60362,conf/sigmod/GravanoCGP97,MdwCZg0RBHYJ
247,8699,conf/sigmod/WangPFY03,C8tFxD-_W10J
543,11501,journals/sigmod/FlorescuLM98,q5OOyzSAlC8J
1115,31140,conf/sigmod/ChaudhuriMN98,3fEogSGG3wQJ
1793,6128,conf/sigmod/AgrawalCFGHIIMMSS94,LWXzOXyOy24J
2323,12709,journals/vldb/FernandezFLS00,W3H34LBUMtoJ
2410,57186,journals/vldb/RahmB01,jn3pvb3hRzwJ
187,19386,conf/vldb/MartinC94,n23cRMqSXn8J
161,28553,journals/sigmod/ShethMKA01,XHl5LVZdnDsJ
204,18801,conf/sigmod/BabcockBDM03,url:http://doi.ieeecomputersociety.org/10.1109/TKDE.2004.75
2096,40811,conf/vldb/AgrawalSX02,P3GB0IRKc2IJ
2495,46936,journals/sigmod/WinslettMY03,EQsWWZdE45wJ
987,59628,conf/sigmod/RundensteinerCLCZNJLW99,O73WtNNtPvAJ
186,61040,conf/sigmod/WangJLY03,tbuNzuDUSFYJ
417,7016,conf/sigmod/LakshmananPZ03a,-EMZt7FrF4QJ
539,8699,conf/sigmod/LuWYBLY02,C8tFxD-_W10J
777,32434,conf/sigmod/ChenDLT00,nh2FuiC6fHgJ
2345,64146,journals/vldb/ChenHY97,url:http://portal.acm.org/citation.cfm%3Fdoid%3D263690.264337
2000,24484,conf/vldb/YangLH03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1027720%26type%3Dpdf
984,39328,conf/sigmod/LiVCAHMWBCHIKSS99,WSQzzj42AkEJ
1480,59911,conf/vldb/BaulierBGJGKKMMNNRSS98,hGlBOUdolYUJ
986,52206,conf/vldb/DongHLPW01,CnAw9v-vEjwJ
2398,28694,journals/vldb/WangW01,qbxHq9qXVrUJ
1379,20609,conf/sigmod/HungYK96,s1jyKv0sbFMJ
2345,39421,journals/vldb/ChenHY97,OLKQsRS0Pj0J
1438,21189,conf/sigmod/PiatkoYLS96,yFaUjmOQp1wJ
429,55671,journals/sigmod/CeriFP99,DoS7NkmUyYgJ
1040,42993,conf/vldb/ChungCLL01,Knzz_bkGA00J
1337,23766,conf/vldb/LakshmananJN00,1n7AY641YyAJ
1251,47377,conf/vldb/CareyKSSS00,BMyrArt5VXAJ
210,10486,journals/sigmod/Dogac02,url:http://portal.acm.org/citation.cfm%3Fid%3D945721.945727%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222
1809,33375,conf/vldb/WangYM97,sXn3gsd_5TAJ
1827,33200,journals/sigmod/DemersGRTY03,AAfuuc1tcoUJ
2476,58721,journals/vldb/LeeW94,FPuBQ8-buIwJ
573,20337,conf/sigmod/HernandezMHYHT01,Rqg_slyUMYMJ
858,29366,conf/sigmod/LiBCS00,lfIQpqzuXmAJ
247,31464,conf/sigmod/WangPFY03,isEy2RUnkkoJ
2128,25958,conf/vldb/ImielinskiB02,AhacU8AzwSUJ
227,4424,conf/vldb/LuOT94,EU43FznasMAJ
2344,18608,journals/vldb/IoannidisNSS97,31oH64SXpRcJ
1382,6139,conf/sigmod/SrikantA96,NK4-1IUmQgIJ
2402,57459,journals/vldb/JagadishKNS00,7J-gi_InWY0J
1628,3162,conf/sigmod/WangZS95,KugPczTC3oMJ
2310,18243,journals/vldb/GarofalakisOS98,dW_pRNemQfsJ
1367,23766,conf/vldb/JagadishLS99,1n7AY641YyAJ
1969,44745,conf/vldb/MengLLA03,cSG6CP-ebS8J
535,62082,conf/sigmod/ChenRW02,8xRHvInl0_0J
1457,6663,conf/vldb/BernsteinPS99,Syu5W-3uFFAJ
452,11308,conf/sigmod/RaoZML02,7Ucs6vmjHN0J
656,37876,conf/sigmod/YuMWL01,89P3EdEDuOEJ
345,63089,journals/sigmod/BertinoEH01,nQsk3GveFP0J
1227,724,conf/sigmod/HellersteinHW97,mcDS-k71qpUJ
1476,7844,conf/sigmod/HarinarayanRU96,url:http://portal.acm.org/citation.cfm%3Fid%3D237661.237717%26dl%3DACM%26dl%3DACM%26type%3Dseries%26idx%3D237661%26part%3DProceedings%26WantType%3DProceedings%26title%3DSymposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222
252,38200,conf/sigmod/AgrawalES03,z_KvJGRMO5QJ
1643,14373,conf/vldb/LeeLWS97,4rJJdFvMmgYJ
1188,27564,conf/vldb/ZhouLZLZJT01,6AnVIVPKamEJ
1229,27565,conf/vldb/KemperKW99,q_A8Y8KY9WkJ
2209,42111,journals/tods/PetersO97,rjXtBHOlCRoJ
2450,31620,journals/vldb/NybergBCGL95,fXziEl_Htv8J
186,14168,conf/sigmod/WangJLY03,17ABu2eLMFkJ
499,61462,conf/sigmod/TaoP02,2V2bnIgsY1kJ
1021,47049,conf/vldb/SeegerBBKSDS01,Vi1lYeDZOI0J
186,36799,conf/sigmod/WangJLY03,RI03CKUm82kJ
1285,2018,conf/sigmod/AgrawalASY97,8Vp0MLe7nMUJ
1448,41609,conf/sigmod/RossSS96,fdRAYN0eaeMJ
2053,54780,conf/vldb/KangC02,E4Doqfl7-DQJ
819,6914,journals/sigmod/ONeilG95,YNkY3rC_4zQJ
7,58906,journals/sigmod/BargaL02,yXiRu4XZIBAJ
1394,14958,conf/sigmod/ChawatheRGW96,z6ehgYebw1YJ
52,45093,conf/vldb/Korth95,UZAQL1o-c0MJ
2402,2882,journals/vldb/JagadishKNS00,YemauUgIzlcJ
91,44267,conf/vldb/AgrawalS94,zb_8GxDPOMYJ
861,27704,journals/sigmod/DreyerDS94,bvFRYOianJUJ
507,6238,conf/sigmod/YangWYH02,RgRaBvNe1CUJ
1272,58537,conf/vldb/DiligentiCLGG00,xqNN8k_s29UJ
2334,26318,journals/vldb/HaasCLS97,bvyqSciFIjcJ
2003,140,conf/vldb/ChenDZ03,pScXi8veb-oJ
215,34884,conf/vldb/DavisonG94,3WHusWxI6lEJ
1285,57429,conf/sigmod/AgrawalASY97,bDiNQAdf8nEJ
727,59353,journals/sigmod/KarlapalemLS95,_qJmw0C7hQoJ
1249,38524,conf/sigmod/DoppelhammerHKK97,EyTvjJCb5WkJ
1484,57080,conf/vldb/VenkataramanZ98,rv_Oj_sMF50J
367,18659,conf/sigmod/ZadorozhnyRVUB02,lovlkpxUzUsJ
1393,48102,conf/vldb/Blum99,EYfIweE8pHEJ
2495,35661,journals/sigmod/WinslettMY03,Pdhfb0V9jM8J
1489,58363,conf/vldb/BamfordBKM98,36y_7fnJdDQJ
2169,38874,conf/vldb/BettiniJWW02,18LZOGy5EAAJ
288,60595,conf/sigmod/SunAA03,TmcyYF1CNsYJ
849,18029,journals/tods/TaoSP03,EBhpR2FtescJ
2391,44356,journals/vldb/Amer-YahiaCLS02,_-JZT1cOuZ8J
94,191,journals/sigmod/GobleR02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
2284,58230,journals/tods/DyresonS98,sAUncbolYJ8J
1000,27997,conf/sigmod/ChangG99,SysZOYlsWhsJ
923,46998,conf/sigmod/Greer99,oNPjyBZrURgJ
186,56531,conf/sigmod/WangJLY03,yNpfYfukA64J
439,6238,conf/sigmod/HanWDPW02,RgRaBvNe1CUJ
2065,44536,conf/vldb/LeeWMS02,1kqMqQPPbwIJ
1471,18722,conf/sigmod/DohertyHR96,kUA9e6YP8igJ
437,45038,conf/sigmod/MaddenH02,kjtuCATx_uoJ
1021,63748,conf/vldb/SeegerBBKSDS01,3IFlpeKgLlAJ
1720,46753,conf/sigmod/CareyDFHMNSSTTWZ94,7-j_EJr-0YcJ
2402,34507,journals/vldb/JagadishKNS00,iAYjhuQV_qMJ
1716,49263,conf/vldb/FlorescuLS98,-Zb4WBd1aNUJ
2182,10597,journals/tods/CeriFPT95,8k0tS22xvPcJ
479,33371,conf/sigmod/DobraGGR02,dD4qUMoxnpEJ
1610,23203,conf/vldb/YangKL97,myKhIppwLC8J
458,23634,conf/sigmod/ChaudhuriGN02,KrfR8djb3C8J
714,27761,journals/sigmod/Camps96,mDj9X3EN9ycJ
2391,45645,journals/vldb/Amer-YahiaCLS02,p5n3KKoHgMgJ
2195,29491,journals/tods/BellNNS96,0MteXOu7gzcJ
156,24989,conf/vldb/ChakravarthyKAK94,_-vK9N_WmVwJ
40,33674,journals/sigmod/SlivinskasJS02,inuIcjK-wgEJ
964,36045,conf/sigmod/AnkerstBKS99,bzQ27saNoRIJ
1276,56511,conf/sigmod/LivnyRBCDLMW97,ICoe8GLPWMIJ
126,32694,conf/vldb/BrownMCL94,s9Z7TuA9l4sJ
250,62531,journals/sigmod/EisenbergM00,GKUflKzgAVEJ
2057,3139,conf/vldb/SenkulKT02,g7HDbO4GCN4J
872,23624,journals/sigmod/NorrieBSW94,bS7ihfBlVGYJ
1312,34476,conf/sigmod/BerchtoldK97,G__T5t9i4ZwJ
1687,29435,conf/sigmod/GravanoGT94,lEQ4uPFcizcJ
2215,35970,journals/vldb/ChuaCL03,aPJnWocHLUwJ
1760,11254,conf/vldb/LabioG96,X-jmxnecLOEJ
997,16156,conf/sigmod/RoussopoulosKS99,ZknlFLRnqLYJ
402,54442,conf/sigmod/ChandrasekaranCDFHHKMRS03,HTAP9c7dQagJ
2262,12404,journals/tods/JajodiaSSS01,bhWLVCoDuNQJ
2493,22890,journals/sigmod/AilamakiG03,yC9kjEGBDL0J
2513,48617,conf/vldb/AgarwalADGNRS96,iX8lBZBEgSwJ
1615,3144,conf/vldb/HumborstadSHT97,TjJZGlCajbMJ
1623,55464,conf/sigmod/DreyerDS95,AWM-7zzaO7wJ
832,37407,conf/sigmod/RaoR00,iqZZMPppeKAJ
943,55705,conf/sigmod/AcharyaGPR99a,z7J4u1sJ52cJ
1252,28167,conf/sigmod/AdelbergGW97,SLQHHp9Ub7YJ
358,2061,journals/sigmod/BernsteinBCDFGGHHJLMNPSU98,RkUnSP2Vkj0J
560,26139,conf/sigmod/BohmBKK01,VSQ0v1UlIvoJ
1931,34117,conf/vldb/PapadiasZMT03,__uz_kINodMJ
2277,25894,journals/tods/WangBBJ97,2e-NAgqt-joJ
2300,29261,journals/tods/ChaudhuriS99,4MaErPILRq8J
2264,23188,journals/tods/BrunoCG02,2Ua-pWTof_YJ
2323,53596,journals/vldb/FernandezFLS00,UkIG8p5eCSsJ
1249,43330,conf/sigmod/DoppelhammerHKK97,LUfRqM48JaEJ
777,6367,conf/sigmod/ChenDLT00,fg5EE6R7xYwJ
1151,25267,conf/vldb/LingLL00,DnlhkxolSmoJ
1653,32833,conf/sigmod/HuangSW94,1oGAXJx7MpMJ
766,49777,conf/sigmod/LakhamrajuRSS00,Xm3ygCvkmN8J
952,706,conf/sigmod/AboulnagaC99,OuM0E0BhEXIJ
1540,13708,conf/vldb/AnkerstBKS98,IM3o2AtDkhcJ
727,23219,journals/sigmod/KarlapalemLS95,B_m0Yp4aycUJ
474,29189,conf/sigmod/GaoW02,bPuDjK-i9rYJ
1002,31560,conf/vldb/LiCHPALHAY01,xcRKDHBIUb8J
261,57189,journals/sigmod/PaepckeGRC00,LcX8Pm2ABJsJ
2495,40467,journals/sigmod/WinslettMY03,Su_ZjtcH7I0J
838,43237,conf/sigmod/ChangBCLLS00,4dJTFKzOFIMJ
1104,8832,conf/sigmod/SeidlK98,DOOggMfdGYoJ
1503,5131,conf/sigmod/LuMSS95,pz2VRTdXq1cJ
1647,58278,conf/sigmod/ImielinskiVB94,RcmGrB81X-4J
136,20684,journals/sigmod/LudascherMM01,PyzHbvS-dCkJ
2128,1985,conf/vldb/ImielinskiB02,8EC1IBh8MZkJ
1084,17979,conf/vldb/AnSVKIG01,0NWTRArKqaMJ
1391,62230,conf/vldb/GarofalakisRS99,GveQLUTEle8J
124,41800,conf/vldb/ColletCS94,uMutI8spj1QJ
1470,18954,conf/vldb/BonczMK99,JgdpgBpMDr4J
197,42278,conf/sigmod/ChaudhuriGS03,mNdoyLMYPqgJ
2044,20946,conf/vldb/CormodeKMS03,tOTe7iddlmMJ
2344,39897,journals/vldb/IoannidisNSS97,Zp7wEnhqAykJ
1721,36508,conf/vldb/RoussopoulosK98,EWDPecQbT1AJ
732,59002,conf/sigmod/AcharyaGP00,rcSfDxBif40J
658,14730,conf/sigmod/ChenGK01,f6JFkfhawW8J
986,62302,conf/vldb/DongHLPW01,xsaovu54vl4J
1276,42658,conf/sigmod/LivnyRBCDLMW97,1ms09_UeEH4J
2021,17148,conf/vldb/LimWV03,T1TgIax4zVcJ
1435,34020,conf/vldb/ChaudhuriG99,mRIRFxOC8A8J
752,46041,conf/sigmod/MoonSL00,J-hdquISylkJ
1252,26207,conf/sigmod/AdelbergGW97,ilCT5UFnHxgJ
2300,48993,journals/tods/ChaudhuriS99,AyWUeJ5k2IoJ
881,33619,journals/tods/FernandezKSMT02,RKh78Q-rJLMJ
204,12466,conf/sigmod/BabcockBDM03,UqcwQtfL6nMJ
1520,10157,conf/sigmod/MoleskyR95,aMk4gXnb8E4J
2501,6646,journals/sigmod/Snodgrass02b,KENWBobILMwJ
1591,41888,conf/vldb/Amer-YahiaCD98,W0L9nOcuhmIJ
1500,33102,conf/vldb/AbiteboulMRVW98,kuueK-yBQqMJ
1073,12097,conf/sigmod/AgrawalGGR98,EQ0ys8s10vcJ
166,57436,conf/vldb/LevySSZ94,8o0d8xLuwgUJ
1499,23051,conf/sigmod/AbiteboulCM95,hh9fQmB-eEEJ
2413,7930,journals/vldb/ChangG01,EhR3fz7f7vcJ
2029,17389,conf/vldb/JiangWL03,tQT_vVhAUSIJ
1496,1842,conf/vldb/GarofalakisIO98,QV20-69j6YYJ
2061,19556,conf/vldb/BenediktCFRZZ02,_eHL311MgPgJ
478,18303,journals/sigmod/AtzeniMM97,4pkdRl98wMQJ
215,9033,conf/vldb/DavisonG94,fN8wW3Y4FJkJ
829,54747,journals/sigmod/RisheSBDOALOSS95,pGU2Ew1AQkoJ
1717,47073,conf/sigmod/PangCL94,G-Z-zAK4hW8J
1284,19864,conf/vldb/HinneburgAK00,OE8gpNwz8MkJ
2112,3279,conf/vldb/DayalHL01,XwzOOLb-ZMIJ
186,17148,conf/sigmod/WangJLY03,T1TgIax4zVcJ
1446,38127,conf/vldb/ChenCFGJMTW99,QiSf-FBUE8QJ
294,16681,conf/sigmod/DeshpandeNGS03,2qW1aIw7OJ4J
404,19293,conf/sigmod/Amer-YahiaFSX03,Ypv2aH520MoJ
1149,50938,conf/sigmod/BerchtoldBK98,DbLGmJX7UJ8J
1314,44589,conf/sigmod/WangSCRZP97,DGUL94w262wJ
1916,46909,conf/vldb/IoannidisLGP96,qb-jf_sQ_5kJ
1554,20664,conf/vldb/FuhDCMTLDRM99,NHGP6JIxXjoJ
1232,43244,conf/sigmod/HanKK97,DlQd7WIkVF0J
2305,16102,journals/vldb/LiR99,wDn1Ji9T01YJ
835,55851,conf/sigmod/AgrawalS00,3OuiSD9XKs4J
1158,32183,conf/sigmod/TsurUACMNR98,aOBNgdooDHAJ
2084,49876,conf/vldb/AggarwalY02,tK1_3wGUIHsJ
2248,14255,journals/tods/HsuSY01,tb_Iq4h_iHgJ
2341,52161,journals/vldb/BohmAnY97,9HjvcVjrm3EJ
1908,30402,journals/sigmod/GolabO03,6K9FhI2pFEgJ
1015,13566,conf/sigmod/EmbleyJN99,n4q_hinJwC8J
1091,50559,conf/sigmod/ChakrabartiDI98,qtVVVrzTLr4J
2195,54029,journals/tods/BellNNS96,pNBKhhy-mcYJ
1079,29796,conf/sigmod/CherniackZ98,So_H9Oer6lsJ
2491,2120,journals/sigmod/CampbellEM03,url:http://portal.acm.org/citation.cfm%3Fid%3D637411.637432%26coll%3DGUIDE%26dl%3DACM%26type%3Dissue%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222
1227,15142,conf/sigmod/HellersteinHW97,16L0fIMUdakJ
1520,32922,conf/sigmod/MoleskyR95,q2yP1EWKhTcJ
1793,2721,conf/sigmod/AgrawalCFGHIIMMSS94,RE_sI8I74igJ
2059,49415,conf/vldb/KornMS02,YtMVuLN2XaYJ
2178,7258,journals/tods/AikenHW95,q-td2YANr18J
935,8325,journals/sigmod/BarclayBGS94,v1aol6mmLdMJ
752,52941,conf/sigmod/MoonSL00,SGxbkJFLa3oJ
2444,42840,journals/vldb/AtkinsonM95,url:http://www.springerlink.com/index/J267M1G774146066.pdf
2488,48774,journals/sigmod/WenLMZ03,c6YpIhirMQgJ
184,47761,journals/sigmod/BarbaraCJW01,8b1aGpNW7KcJ
1463,18243,conf/sigmod/GarofalakisI96,dW_pRNemQfsJ
2488,36881,journals/sigmod/WenLMZ03,JceK-ywXk8UJ
1435,23550,conf/vldb/ChaudhuriG99,WWaxLMIptTMJ
1039,23550,conf/sigmod/ChaudhuriN98,WWaxLMIptTMJ
1173,23550,conf/sigmod/ChaudhuriN98a,WWaxLMIptTMJ
1104,19249,conf/sigmod/SeidlK98,iHpgXVyL1w0J
620,27538,conf/sigmod/ShouCTRH01,hPcNG0tPwgIJ
1563,55226,conf/vldb/Tygar98,lWMzZgqNlSEJ
411,20194,conf/sigmod/OoiTZGLLLNSWZ03,lNvW4tc-B2EJ
2379,57475,journals/vldb/ChandrasekaranF03,qlEX82L7H6wJ
877,6411,journals/tods/MayL02,ky-2yjNGtW8J
156,33446,conf/vldb/ChakravarthyKAK94,X8-OKJ8BouMJ
91,53208,conf/vldb/AgrawalS94,Bj9MIZU_4FQJ
1654,32117,conf/vldb/SeidlK97,kCH4ZzrozMkJ
89,57299,conf/vldb/BaralisW94,url:http://portal.acm.org/citation.cfm%3Fid%3D219713%26dl%3DGUIDE%26dl%3DACM%26type%3Dissue%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222
183,56180,conf/sigmod/DasGR03,SA9NEkfzS0EJ
1931,51084,conf/vldb/PapadiasZMT03,url:http://portal.acm.org/citation.cfm%3Fid%3D957013.957136
1050,5026,conf/sigmod/FranklinZ98,5Cj9Wx8llkwJ
721,48127,conf/sigmod/ChoSG00,C8ph-tSXBIYJ
1084,11026,conf/vldb/AnSVKIG01,4Q5ikiCy82UJ
1604,40109,conf/vldb/Garcia-MolinaLY98,6j5_vopt6hAJ
856,16272,conf/sigmod/YangYW00,IJDg4R1pw6EJ
1720,5760,conf/sigmod/CareyDFHMNSSTTWZ94,xuE2g4v2AjYJ
