i_dblp,j_sch,dblp_id,sch_id,cos_title,jaccard_title,dice_title,Levenshtein_title
13,51069,conf/vldb/LuTD95,R51Yi7sWJ6EJ,0.0,0.0,0.0,0.23809523809523814
206,53184,conf/sigmod/BenediktCFFR03,AYLM_Ah5Z0kJ,0.0,0.0,0.0,0.2142857142857143
1683,26657,conf/vldb/ZouS98,5dnYlEMQTb0J,0.0036367023596907,0.045454545454545456,0.08695652173913043,0.3152173913043478
1821,11315,journals/sigmod/HellersteinHM03,6ussAgzdL6oJ,1.0,1.0,1.0,1.0
2380,61294,journals/vldb/AgrawalHK03,nQvBo5KHITYJ,0.0070103119020142,0.07692307692307693,0.14285714285714285,0.2222222222222222
2066,33777,conf/vldb/ZellerK02,UIWreKZndVQJ,0.9278586134789396,0.9285714285714286,0.9629629629629629,0.8679245283018868
396,8204,conf/sigmod/ChoALS03,hbshvAkMyfMJ,0.0,0.0,0.0,0.16666666666666663
1256,50941,conf/vldb/PereiraFLS00,KAW0nLm2wVAJ,1.0000000000000002,1.0,1.0,1.0
702,43185,conf/sigmod/WuAA01,wivJNEQEWzMJ,0.0073311592859755,0.06666666666666667,0.125,0.14814814814814814
1182,38160,conf/sigmod/AcharyaFZ97,oH_xfQI8wIgJ,0.0551674769504191,0.0625,0.11764705882352941,0.22666666666666668
442,35906,conf/sigmod/AltinelLKMPLWB02,FRh7wTjbGAcJ,0.0057976335164989,0.058823529411764705,0.1111111111111111,0.2705882352941177
344,32365,conf/sigmod/MinPC03,NQX3dE0STGAJ,0.0,0.047619047619047616,0.09090909090909091,0.2183908045977011
838,29490,conf/sigmod/ChangBCLLS00,aFsgZWSkfOcJ,0.0,0.0,0.0,0.25
1285,17347,conf/sigmod/AgrawalASY97,nqOZsUydoQkJ,0.0147216959617167,0.0625,0.11764705882352941,0.21518987341772156
77,25605,conf/vldb/FrohnLU94,xpreqF8k7N4J,1.0,1.0,1.0,1.0
2475,39839,journals/vldb/LinJF94,lJvmD13lHJIJ,0.0194517910427402,0.09523809523809523,0.17391304347826086,0.27835051546391754
965,11515,conf/sigmod/JagadishLS99,dRemTC899xcJ,0.0,0.0625,0.11764705882352941,0.3194444444444444
2310,62403,journals/vldb/GarofalakisOS98,JrgorBsFBrwJ,0.0339598737204159,0.14285714285714285,0.25,0.22580645161290325
1390,4339,conf/sigmod/HanFWCZK96,XFCkL9QhTjIJ,0.0340291274910532,0.0625,0.11764705882352941,0.2692307692307693
1069,13558,conf/vldb/OzsuLON01,nOUmvN1TzdMJ,0.0061552096948352,0.045454545454545456,0.08695652173913043,0.26190476190476186
1938,9806,conf/vldb/AltinelBKMPR03,wIlHF5DfRbMJ,1.0000000000000002,1.0,1.0,1.0
1937,61074,conf/vldb/KoudasGGSV03,jqWSQmw8ScEJ,0.0,0.0,0.0,0.20454545454545459
1414,12280,conf/vldb/JagadishMN99,9rDll5YAQnoJ,1.0,1.0,1.0,1.0
1337,30719,conf/vldb/LakshmananJN00,0McW0Z3yCW8J,0.032435260312258,0.125,0.2222222222222222,0.25316455696202533
1944,2646,conf/vldb/AnciauxBP03,H2qCU9-_uykJ,0.0,0.0,0.0,0.2028985507246377
1367,45645,conf/vldb/JagadishLS99,p5n3KKoHgMgJ,0.0721512460368866,0.13333333333333333,0.23529411764705882,0.38888888888888884
2309,59899,journals/vldb/KrivokapicKG99,Z0oCigN4pVMJ,0.0211089169994982,0.10526315789473684,0.19047619047619047,0.2666666666666667
2523,13842,conf/vldb/ShaferAM96,WTuHfc-D3TwJ,0.0,0.07692307692307693,0.14285714285714285,0.1964285714285714
812,26175,journals/sigmod/Ulusoy95,uMYecZGSCv4J,1.0,1.0,1.0,1.0
1047,39813,conf/vldb/UrhanF01,luw5euo-eqsJ,0.0,0.0,0.0,0.2535211267605634
1969,3642,conf/vldb/MengLLA03,_EDhM4bq8b0J,0.0,0.0,0.0,0.2790697674418605
2314,51383,journals/vldb/KabraD99,MbQoYPHe0V0J,0.0,0.0,0.0,0.17500000000000004
1342,39172,conf/sigmod/ShivakumarG97,DNmlZjsXOGcJ,0.0,0.0,0.0,0.22784810126582278
632,59950,conf/sigmod/ClaypoolRZSK01,uuvhH2asKmEJ,0.0385696757712977,0.05555555555555555,0.10526315789473684,0.19999999999999996
977,62614,conf/sigmod/DoRD99,V1DwPxXlTD4J,0.0054600134818842,0.0625,0.11764705882352941,0.29268292682926833
986,51588,conf/vldb/DongHLPW01,ue3gCyIirokJ,0.0651259898897405,0.06666666666666667,0.125,0.18333333333333335
1965,54612,conf/vldb/HardingLM03,_ojAgiG_YREJ,0.0,0.0,0.0,0.18666666666666665
989,18116,conf/vldb/LiM01,rlfxeE4k2p4J,0.0,0.0,0.0,0.25773195876288657
2195,48658,journals/tods/BellNNS96,UByN6paxEXwJ,0.0,0.0,0.0,0.19672131147540983
1986,19622,conf/vldb/WangZL03,brHr940q4pAJ,0.0,0.0,0.0,0.2465753424657534
319,2456,conf/sigmod/ChaudhuriKN03,tnJWmxOtOrEJ,0.0215475044433996,0.05263157894736842,0.1,0.19117647058823528
1654,30934,conf/vldb/SeidlK97,TodiMgxv4vMJ,0.0394614229550771,0.06666666666666667,0.125,0.23611111111111116
1116,59366,conf/sigmod/MatiasVW98,chcojj8yN1sJ,0.0,0.0,0.0,0.18181818181818177
1359,14801,conf/vldb/LeeL99,CvuDiQujuXkJ,0.0,0.0,0.0,0.18965517241379315
2033,50178,conf/vldb/HuebschHLLSS03,7y9SomIIAG0J,1.0,1.0,1.0,1.0
372,13579,conf/sigmod/MaddenSHR02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D945725%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0,0.0,0.0,0.2833333333333333
442,52255,conf/sigmod/AltinelLKMPLWB02,7lPu8hBgKksJ,0.3146790327644618,0.2857142857142857,0.4444444444444444,0.4691358024691358
2002,62384,conf/vldb/Amer-YahiaFSX03,b2r9OZJJ4sgJ,0.0,0.0,0.0,0.1785714285714286
193,58344,journals/sigmod/LeeF01,CYMEZBP9hBsJ,0.0084429532289643,0.05263157894736842,0.1,0.2716049382716049
741,35518,conf/sigmod/RoySSB00,B855ccGhBu4J,0.0049981375643646,0.058823529411764705,0.1111111111111111,0.15625
332,46610,conf/sigmod/ChaudhuriGGM03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1016031%26type%3Dpdf,0.0312678751283929,0.125,0.2222222222222222,0.2816901408450704
2439,24451,journals/vldb/AlbanoGO95,vrD2aAK6G-wJ,0.7847074856542506,0.8571428571428571,0.9230769230769231,0.8113207547169812
1040,56496,conf/vldb/ChungCLL01,c-MP8R47zVIJ,0.0,0.0,0.0,0.19767441860465118
112,31560,journals/sigmod/HuangKL02,xcRKDHBIUb8J,0.0075667962825728,0.05263157894736842,0.1,0.33333333333333337
148,35189,journals/sigmod/EisenbergM01,Ciq01lHglkAJ,0.0,0.0,0.0,0.16666666666666663
2021,46569,conf/vldb/LimWV03,YHUN_yiwIOUJ,0.0,0.0,0.0,0.24637681159420288
505,8631,journals/sigmod/GuptaHR97,JqLpS6Kq6CIJ,0.0,0.0,0.0,0.17741935483870963
1864,53001,journals/sigmod/MalaikaEM03,P4GlaTbxOpEJ,0.0,0.0,0.0,0.22857142857142854
1197,32536,conf/sigmod/ReinwaldP98,y_H9p9Lqj3IJ,0.5284234441449206,0.6666666666666666,0.8,0.9705882352941176
906,27634,journals/tods/BeneventanoBS03,AgqQVeQ7A0AJ,0.0,0.0,0.0,0.2068965517241379
220,40892,conf/vldb/LitwinNS94,FhyWT1pyLnUJ,0.8346631466620118,0.8333333333333334,0.9090909090909091,0.8717948717948718
439,57969,conf/sigmod/HanWDPW02,OtWd0BN7XWoJ,0.0,0.0,0.0,0.20238095238095233
2048,58945,conf/vldb/IwerksSS03,-DvIEFe1vQ0J,0.0,0.0,0.0,0.18518518518518523
2237,10357,journals/tods/WinslettSQ94,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D187462%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0,0.0,0.0,0.2222222222222222
2277,30135,journals/tods/WangBBJ97,I-yhgAxp9OQJ,0.7137646068773881,0.7777777777777778,0.875,0.8484848484848485
939,53596,conf/sigmod/FlorescuLMS99,UkIG8p5eCSsJ,0.0,0.0,0.0,0.2622950819672131
1242,25489,conf/sigmod/ONeilQ97,6twtfqrudGcJ,1.0,1.0,1.0,1.0
858,30976,conf/sigmod/LiBCS00,H19xw76hkEYJ,0.0,0.045454545454545456,0.08695652173913043,0.26881720430107525
467,35292,conf/sigmod/ThaperGIK02,855tuDOhjl4J,1.0,1.0,1.0,1.0
209,26366,journals/sigmod/TianDCZ02,KIPb9Dqda-AJ,0.0096554861593471,0.1111111111111111,0.2,0.33333333333333337
1368,47293,conf/vldb/ShanmugasundaramGTZDN99,dycZ24ft99wJ,0.412666905116793,0.5,0.6666666666666666,0.8571428571428572
2427,47048,journals/vldb/KellerB96,Gbeuku4fC18J,0.0051019235159132,0.09090909090909091,0.16666666666666666,0.28409090909090906
2163,14730,conf/vldb/YuSLJ02,f6JFkfhawW8J,0.0,0.0,0.0,0.19354838709677424
2232,52242,journals/tods/RosenthalR94,fW9j2V5gnUMJ,0.0,0.0,0.0,0.19565217391304346
2139,7920,conf/vldb/AgrawalKSX02,HAaZcc7-vqAJ,0.0,0.0,0.0,0.22499999999999998
1392,13355,conf/sigmod/HullZ96,pO6SFdVGt5QJ,0.0188518284095097,0.13043478260869565,0.23076923076923078,0.1910112359550562
405,31381,conf/sigmod/ArasuBBDIRW03,kpLW9e4Cr94J,0.0,0.0,0.0,0.2678571428571429
330,50455,conf/sigmod/GangulyGR03,Sd2EpYgsgYEJ,0.0410978920843294,0.09090909090909091,0.16666666666666666,0.26315789473684215
1115,39650,conf/sigmod/ChaudhuriMN98,niAPzsMp2igJ,0.9536606646270724,0.9,0.9473684210526315,0.9104477611940298
1431,47992,conf/vldb/ChanI99,rIn20xqxpkUJ,0.0,0.0,0.0,0.273972602739726
1793,36330,conf/sigmod/AgrawalCFGHIIMMSS94,1HAB-tuw7N4J,0.0,0.0,0.0,0.23529411764705888
807,37053,conf/sigmod/ChoG00,iyliEUBEyhwJ,0.0,0.0,0.0,0.23684210526315785
220,33321,conf/vldb/LitwinNS94,QzFRa87b4HEJ,0.1735110813512997,0.21052631578947367,0.34782608695652173,0.5411764705882354
1280,13299,conf/sigmod/GebhardtJJ97,url:http://www.springerlink.com/index/CBHRGBHFTW90N54X.pdf,0.0,0.0,0.0,0.15714285714285714
2021,61040,conf/vldb/LimWV03,tbuNzuDUSFYJ,0.0045612778863029,0.1,0.18181818181818182,0.28767123287671237
1480,41468,conf/vldb/BaulierBGJGKKMMNNRSS98,VQ41LtuXMrUJ,1.0,1.0,1.0,1.0
1849,20397,conf/vldb/HaasKWY97,6TrmUUoylzIJ,1.0,1.0,1.0,1.0
343,25026,conf/sigmod/MaddenFHH03,VKL01W7jM14J,0.357195975098572,0.4666666666666667,0.6363636363636364,0.6125
1465,60593,conf/vldb/RaoR99,ESJ_s7VCnosJ,0.0,0.0,0.0,0.26249999999999996
2510,38573,conf/vldb/BertinoBFS96,NYQMkdaH2egJ,0.0368917235956722,0.058823529411764705,0.1111111111111111,0.26190476190476186
1306,24319,conf/vldb/DiaoLCT00,W0ziAVcSPRYJ,0.0,0.0,0.0,0.23880597014925375
575,42530,conf/sigmod/FernandezMS01,8hDo6qczOzMJ,0.0232097142554931,0.047619047619047616,0.09090909090909091,0.25263157894736843
1189,2042,conf/sigmod/CeriFP98,b6-zHfA02TgJ,0.0,0.0,0.0,0.1071428571428571
1231,60362,conf/sigmod/GravanoCGP97,MdwCZg0RBHYJ,0.0,0.0,0.0,0.2028985507246377
247,8699,conf/sigmod/WangPFY03,C8tFxD-_W10J,0.809904037627514,0.8333333333333334,0.9090909090909091,0.8823529411764706
543,11501,journals/sigmod/FlorescuLM98,q5OOyzSAlC8J,0.4486125233784224,0.6,0.75,0.7843137254901961
1115,31140,conf/sigmod/ChaudhuriMN98,3fEogSGG3wQJ,0.623951204469145,0.5,0.6666666666666666,0.5901639344262295
1793,6128,conf/sigmod/AgrawalCFGHIIMMSS94,LWXzOXyOy24J,0.0,0.0,0.0,0.23529411764705888
2323,12709,journals/vldb/FernandezFLS00,W3H34LBUMtoJ,0.161710304012642,0.13333333333333333,0.23529411764705882,0.28
2410,57186,journals/vldb/RahmB01,jn3pvb3hRzwJ,0.0,0.06666666666666667,0.125,0.20370370370370372
187,19386,conf/vldb/MartinC94,n23cRMqSXn8J,0.0,0.0,0.0,0.1807228915662651
161,28553,journals/sigmod/ShethMKA01,XHl5LVZdnDsJ,0.0060067106616271,0.08333333333333333,0.15384615384615385,0.2021276595744681
204,18801,conf/sigmod/BabcockBDM03,url:http://doi.ieeecomputersociety.org/10.1109/TKDE.2004.75,0.0051513813011722,0.05,0.09523809523809523,0.19512195121951215
2096,40811,conf/vldb/AgrawalSX02,P3GB0IRKc2IJ,0.0812989538827843,0.09090909090909091,0.16666666666666666,0.24444444444444446
2495,46936,journals/sigmod/WinslettMY03,EQsWWZdE45wJ,0.0,0.0,0.0,0.196078431372549
987,59628,conf/sigmod/RundensteinerCLCZNJLW99,O73WtNNtPvAJ,0.0,0.0,0.0,0.19191919191919193
186,61040,conf/sigmod/WangJLY03,tbuNzuDUSFYJ,0.004815159982079,0.05555555555555555,0.10526315789473684,0.28767123287671237
417,7016,conf/sigmod/LakshmananPZ03a,-EMZt7FrF4QJ,0.2699408857837987,0.2857142857142857,0.4444444444444444,0.25
539,8699,conf/sigmod/LuWYBLY02,C8tFxD-_W10J,0.0,0.0,0.0,0.21666666666666667
777,32434,conf/sigmod/ChenDLT00,nh2FuiC6fHgJ,0.0,0.0,0.0,0.20481927710843373
2345,64146,journals/vldb/ChenHY97,url:http://portal.acm.org/citation.cfm%3Fdoid%3D263690.264337,0.0,0.0,0.0,0.23287671232876717
374,39399,journals/sigmod/BollKB98,94o1Jm8zbxcJ,0.1987193069245368,0.29411764705882354,0.45454545454545453,0.4606741573033708
2000,24484,conf/vldb/YangLH03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1027720%26type%3Dpdf,0.007283066619187,0.07142857142857142,0.13333333333333333,0.15384615384615385
984,39328,conf/sigmod/LiVCAHMWBCHIKSS99,WSQzzj42AkEJ,1.0,1.0,1.0,1.0
1480,59911,conf/vldb/BaulierBGJGKKMMNNRSS98,hGlBOUdolYUJ,0.0,0.0,0.0,0.2142857142857143
986,52206,conf/vldb/DongHLPW01,CnAw9v-vEjwJ,0.0,0.0,0.0,0.20967741935483875
2398,28694,journals/vldb/WangW01,qbxHq9qXVrUJ,0.0,0.0,0.0,0.2906976744186046
1379,20609,conf/sigmod/HungYK96,s1jyKv0sbFMJ,0.4781299359735603,0.375,0.5454545454545454,0.3866666666666667
2345,39421,journals/vldb/ChenHY97,OLKQsRS0Pj0J,0.0641424334842621,0.16666666666666666,0.2857142857142857,0.26027397260273977
1438,21189,conf/sigmod/PiatkoYLS96,yFaUjmOQp1wJ,0.006003189868373,0.1111111111111111,0.2,0.23711340206185572
429,55671,journals/sigmod/CeriFP99,DoS7NkmUyYgJ,0.0068255275750952,0.058823529411764705,0.1111111111111111,0.20731707317073167
1040,42993,conf/vldb/ChungCLL01,Knzz_bkGA00J,0.0,0.0,0.0,0.20833333333333337
1337,23766,conf/vldb/LakshmananJN00,1n7AY641YyAJ,1.0,1.0,1.0,1.0
1251,47377,conf/vldb/CareyKSSS00,BMyrArt5VXAJ,0.0138573757468061,0.058823529411764705,0.1111111111111111,0.2702702702702703
210,10486,journals/sigmod/Dogac02,url:http://portal.acm.org/citation.cfm%3Fid%3D945721.945727%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,1.0000000000000002,1.0,1.0,1.0
1809,33375,conf/vldb/WangYM97,sXn3gsd_5TAJ,0.704066823665275,0.8181818181818182,0.9,0.9705882352941176
1827,33200,journals/sigmod/DemersGRTY03,AAfuuc1tcoUJ,0.0113060498292526,0.08333333333333333,0.15384615384615385,0.2727272727272727
2476,58721,journals/vldb/LeeW94,FPuBQ8-buIwJ,0.0,0.0,0.0,0.19047619047619047
573,20337,conf/sigmod/HernandezMHYHT01,Rqg_slyUMYMJ,0.2610690842400027,0.18181818181818182,0.3076923076923077,0.15555555555555556
858,29366,conf/sigmod/LiBCS00,lfIQpqzuXmAJ,0.0,0.0,0.0,0.22857142857142854
247,31464,conf/sigmod/WangPFY03,isEy2RUnkkoJ,0.0,0.0,0.0,0.25
2128,25958,conf/vldb/ImielinskiB02,AhacU8AzwSUJ,0.0,0.0,0.0,0.15217391304347827
227,4424,conf/vldb/LuOT94,EU43FznasMAJ,0.0596688162993331,0.14285714285714285,0.25,0.25373134328358204
2344,18608,journals/vldb/IoannidisNSS97,31oH64SXpRcJ,0.0,0.0,0.0,0.21276595744680848
1382,6139,conf/sigmod/SrikantA96,NK4-1IUmQgIJ,0.0092642142664935,0.07692307692307693,0.14285714285714285,0.296875
2402,57459,journals/vldb/JagadishKNS00,7J-gi_InWY0J,0.0,0.0,0.0,0.2571428571428571
1628,3162,conf/sigmod/WangZS95,KugPczTC3oMJ,0.0068662779352426,0.043478260869565216,0.08333333333333333,0.2021276595744681
2310,18243,journals/vldb/GarofalakisOS98,dW_pRNemQfsJ,0.4119185462032332,0.38461538461538464,0.5555555555555556,0.5070422535211268
1367,23766,conf/vldb/JagadishLS99,1n7AY641YyAJ,0.0232472883391618,0.14285714285714285,0.25,0.20833333333333337
1969,44745,conf/vldb/MengLLA03,cSG6CP-ebS8J,0.5247191742110533,0.6,0.75,0.8076923076923077
535,62082,conf/sigmod/ChenRW02,8xRHvInl0_0J,0.1083874656373084,0.3076923076923077,0.47058823529411764,0.2777777777777778
1457,6663,conf/vldb/BernsteinPS99,Syu5W-3uFFAJ,0.0160459844243751,0.07692307692307693,0.14285714285714285,0.21666666666666667
452,11308,conf/sigmod/RaoZML02,7Ucs6vmjHN0J,0.9614673511367672,0.875,0.9333333333333333,0.8923076923076922
656,37876,conf/sigmod/YuMWL01,89P3EdEDuOEJ,0.0052019568004113,0.05555555555555555,0.10526315789473684,0.2717391304347826
345,63089,journals/sigmod/BertinoEH01,nQsk3GveFP0J,0.0094174648984944,0.09090909090909091,0.16666666666666666,0.26
1227,724,conf/sigmod/HellersteinHW97,mcDS-k71qpUJ,0.0,0.0,0.0,0.17333333333333334
1476,7844,conf/sigmod/HarinarayanRU96,url:http://portal.acm.org/citation.cfm%3Fid%3D237661.237717%26dl%3DACM%26dl%3DACM%26type%3Dseries%26idx%3D237661%26part%3DProceedings%26WantType%3DProceedings%26title%3DSymposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0,0.0,0.0,0.2597402597402597
252,38200,conf/sigmod/AgrawalES03,z_KvJGRMO5QJ,0.0,0.0,0.0,0.20454545454545459
1643,14373,conf/vldb/LeeLWS97,4rJJdFvMmgYJ,0.0,0.0,0.0,0.2421052631578947
1188,27564,conf/vldb/ZhouLZLZJT01,6AnVIVPKamEJ,0.0,0.0,0.0,0.26865671641791045
1229,27565,conf/vldb/KemperKW99,q_A8Y8KY9WkJ,0.0045319169025841,0.047619047619047616,0.09090909090909091,0.26027397260273977
2209,42111,journals/tods/PetersO97,rjXtBHOlCRoJ,0.0,0.0,0.0,0.17142857142857137
2450,31620,journals/vldb/NybergBCGL95,fXziEl_Htv8J,0.1767253761090188,0.2727272727272727,0.42857142857142855,0.28
186,14168,conf/sigmod/WangJLY03,17ABu2eLMFkJ,0.0,0.0,0.0,0.27450980392156865
499,61462,conf/sigmod/TaoP02,2V2bnIgsY1kJ,0.1597366689317911,0.14285714285714285,0.25,0.23711340206185572
1021,47049,conf/vldb/SeegerBBKSDS01,Vi1lYeDZOI0J,0.0201730686832318,0.05,0.09523809523809523,0.2857142857142857
186,36799,conf/sigmod/WangJLY03,RI03CKUm82kJ,0.0,0.0,0.0,0.23913043478260865
1285,2018,conf/sigmod/AgrawalASY97,8Vp0MLe7nMUJ,0.0521166304920991,0.15384615384615385,0.26666666666666666,0.26388888888888884
1448,41609,conf/sigmod/RossSS96,fdRAYN0eaeMJ,0.0,0.0,0.0,0.18604651162790697
2053,54780,conf/vldb/KangC02,E4Doqfl7-DQJ,0.0,0.0,0.0,0.30666666666666664
819,6914,journals/sigmod/ONeilG95,YNkY3rC_4zQJ,1.0,1.0,1.0,1.0
7,58906,journals/sigmod/BargaL02,yXiRu4XZIBAJ,0.0,0.0,0.0,0.196078431372549
1394,14958,conf/sigmod/ChawatheRGW96,z6ehgYebw1YJ,0.233310860475192,0.18181818181818182,0.3076923076923077,0.3157894736842105
52,45093,conf/vldb/Korth95,UZAQL1o-c0MJ,0.6668810092159329,0.6666666666666666,0.8,0.8854166666666666
2402,2882,journals/vldb/JagadishKNS00,YemauUgIzlcJ,0.0,0.0,0.0,0.2571428571428571
91,44267,conf/vldb/AgrawalS94,zb_8GxDPOMYJ,0.1996511894774706,0.16666666666666666,0.2857142857142857,0.3492063492063492
861,27704,journals/sigmod/DreyerDS94,bvFRYOianJUJ,0.0,0.0,0.0,0.2763157894736842
507,6238,conf/sigmod/YangWYH02,RgRaBvNe1CUJ,0.0,0.0625,0.11764705882352941,0.20370370370370372
1272,58537,conf/vldb/DiligentiCLGG00,xqNN8k_s29UJ,0.0,0.0,0.0,0.21739130434782605
2334,26318,journals/vldb/HaasCLS97,bvyqSciFIjcJ,0.0041623640774251,0.05,0.09523809523809523,0.21276595744680848
2003,140,conf/vldb/ChenDZ03,pScXi8veb-oJ,0.0,0.0,0.0,0.30000000000000004
215,34884,conf/vldb/DavisonG94,3WHusWxI6lEJ,0.0,0.0,0.0,0.28125
1285,57429,conf/sigmod/AgrawalASY97,bDiNQAdf8nEJ,1.0,1.0,1.0,1.0
727,59353,journals/sigmod/KarlapalemLS95,_qJmw0C7hQoJ,0.0,0.0,0.0,0.20253164556962022
1249,38524,conf/sigmod/DoppelhammerHKK97,EyTvjJCb5WkJ,0.0093122985468428,0.08695652173913043,0.16,0.24242424242424243
1484,57080,conf/vldb/VenkataramanZ98,rv_Oj_sMF50J,0.0,0.0,0.0,0.20779220779220775
367,18659,conf/sigmod/ZadorozhnyRVUB02,lovlkpxUzUsJ,0.006544367278874,0.05555555555555555,0.10526315789473684,0.19999999999999996
1393,48102,conf/vldb/Blum99,EYfIweE8pHEJ,0.9421060234747564,0.9333333333333333,0.9655172413793104,0.9411764705882353
2495,35661,journals/sigmod/WinslettMY03,Pdhfb0V9jM8J,0.0,0.0,0.0,0.1578947368421053
1489,58363,conf/vldb/BamfordBKM98,36y_7fnJdDQJ,0.0,0.0,0.0,0.21505376344086025
2169,38874,conf/vldb/BettiniJWW02,18LZOGy5EAAJ,0.007767590226191,0.06666666666666667,0.125,0.23287671232876717
288,60595,conf/sigmod/SunAA03,TmcyYF1CNsYJ,0.0053843627814198,0.05555555555555555,0.10526315789473684,0.2564102564102564
849,18029,journals/tods/TaoSP03,EBhpR2FtescJ,0.004332475447653,0.05,0.09523809523809523,0.2680412371134021
2391,44356,journals/vldb/Amer-YahiaCLS02,_-JZT1cOuZ8J,0.0,0.0,0.0,0.1875
94,191,journals/sigmod/GobleR02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0126572860527342,0.06666666666666667,0.125,0.27692307692307694
2284,58230,journals/tods/DyresonS98,sAUncbolYJ8J,0.0,0.0,0.0,0.22058823529411764
1000,27997,conf/sigmod/ChangG99,SysZOYlsWhsJ,0.0,0.0,0.0,0.19780219780219777
923,46998,conf/sigmod/Greer99,oNPjyBZrURgJ,1.0,1.0,1.0,1.0
186,56531,conf/sigmod/WangJLY03,yNpfYfukA64J,0.0,0.0,0.0,0.23529411764705888
439,6238,conf/sigmod/HanWDPW02,RgRaBvNe1CUJ,0.0175133950430542,0.07142857142857142,0.13333333333333333,0.15555555555555556
